Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover
"LINK MOBILITY GRP";NO0010894231;LINK;"Oslo Børs";NOK;19.50;19.932;19.404;19.60;"28/12/21 16:27";CET;632306;12460208.29
"LYTIX BIOPHARMA";NO0010405780;LYTIX;"Euronext Growth Oslo";NOK;14.00;14.00;14.00;14.00;"28/12/21 12:54";CET;11;154.00
"M VEST WATER";NO0010976343;MVW;"Euronext Growth Oslo";NOK;12.00;13.75;12.00;13.00;"28/12/21 16:19";CET;34108;445960.91
MAGNORA;NO0010187032;MGN;"Oslo Børs";NOK;18.62;18.94;18.30;18.70;"28/12/21 16:25";CET;163816;3053222.94
"MAGSEIS FAIRFIELD";NO0010663669;MSEIS;"Oslo Børs";NOK;3.955;4.03;3.90;4.025;"28/12/21 16:25";CET;536652;2143778.10
MÅSØVAL;NO0010974983;MAS;"Euronext Growth Oslo";NOK;39.85;40.05;39.50;40.005;"28/12/21 15:46";CET;23470;935777.48
MEDISTIM;NO0010159684;MEDI;"Oslo Børs";NOK;385.00;394.00;379.00;394.00;"28/12/21 16:25";CET;5588;2153047.50
"MELHUS SPAREBANK";NO0006001908;MELG;"Oslo Børs";NOK;155.00;155.00;155.00;155.00;"28/12/21 12:50";CET;2300;356500.00
MELTWATER;NL00150003D3;MWTR;"Oslo Børs";NOK;27.00;27.46;25.44;25.76;"28/12/21 16:25";CET;245050;6441184.42
"MERCELL HOLDING";NO0010307143;MRCEL;"Oslo Børs";NOK;6.69;6.69;6.34;6.34;"28/12/21 16:25";CET;559202;3567856.54
"MINTRA HOLDING";NO0010895022;MNTR;"Euronext Growth Oslo";NOK;3.82;3.82;3.81;3.81;"28/12/21 15:25";CET;14488;55341.94
MOWI;NO0003054108;MOWI;"Oslo Børs";NOK;210.00;210.40;208.10;209.60;"28/12/21 16:28";CET;533257;111627935.60
"MPC CONTAINER SHIP";NO0010791353;MPCC;"Oslo Børs";NOK;23.55;24.00;23.55;23.75;"28/12/21 16:25";CET;2372384;56474812.35
"MPC ENERGY SOLUTIO";NL0015268814;MPCES;"Euronext Growth Oslo";NOK;27.20;27.445;27.11;27.22;"28/12/21 15:33";CET;10913;296565.47
MULTICONSULT;NO0010734338;MULTI;"Oslo Børs";NOK;152.50;154.50;151.50;152.50;"28/12/21 16:25";CET;10145;1554085.00
NAPATECH;DK0060520450;NAPA;"Oslo Børs";NOK;12.40;13.20;12.10;12.40;"28/12/21 16:25";CET;652823;8162474.50
NAVAMEDIC;NO0010205966;NAVA;"Oslo Børs";NOK;32.50;32.50;29.50;30.00;"28/12/21 16:25";CET;18752;562616.50
NEKKAR;NO0003049405;NKR;"Oslo Børs";NOK;9.92;10.08;9.80;9.95;"28/12/21 16:25";CET;165891;1647310.05
NEL;NO0010081235;NEL;"Oslo Børs";NOK;16.00;16.125;15.315;15.38;"28/12/21 16:25";CET;4580774;71672193.83
"NETOIL CAPITAL";GB00BF2PG875;NOC;"Euronext Growth Oslo";NOK;4.78;4.80;4.78;4.80;"19/07/21 14:33";CET;1000;4786.20
"NEXT BIOMETRICS GP";NO0010629108;NEXT;"Oslo Børs";NOK;8.19;8.19;7.72;8.00;"28/12/21 16:25";CET;102403;807193.37
"NIDAROS SPAREBANK";NO0010733082;NISB;"Euronext Growth Oslo";NOK;112.00;112.00;112.00;112.00;"28/12/21 15:10";CET;23;2576.00
NORBIT;NO0010856511;NORBT;"Oslo Børs";NOK;30.10;32.40;30.10;31.70;"28/12/21 16:26";CET;271533;8513439.65
NORCOD;NO0010892912;NCOD;"Euronext Growth Oslo";NOK;108.40;108.60;107.40;107.40;"28/12/21 15:37";CET;4105;442596.00
"NORDHEALTH A-AKSJE";NO0011002651;NORDH;"Euronext Growth Oslo";NOK;37.00;39.99;36.64;39.99;"28/12/21 15:27";CET;937;34887.43
"NORDIC AQUA PART";DK0061414638;NOAP;"Euronext Growth Oslo";NOK;62.60;62.60;62.50;62.50;"28/12/21 15:11";CET;2300;143950.00
"NORDIC HALIBUT";NO0003058109;NOHAL;"Euronext Growth Oslo";NOK;27.10;27.30;27.10;27.30;"28/12/21 14:26";CET;285;7760.50
"NORDIC MINING";NO0010317340;NOM;"Euronext Expand Oslo";NOK;3.15;3.365;3.15;3.30;"28/12/21 16:25";CET;741034;2405662.66
"NORDIC NANOVECTOR";NO0010597883;NANOV;"Oslo Børs";NOK;23.10;23.40;22.90;23.22;"28/12/21 16:27";CET;122305;2822329.16
"NORDIC SEMICONDUC";NO0003055501;NOD;"Oslo Børs";NOK;297.00;306.20;295.80;299.20;"28/12/21 16:29";CET;494835;149259269.80
"NORDIC UNMANNED";NO0010907090;NUMND;"Euronext Growth Oslo";NOK;33.90;34.73;33.48;33.48;"28/12/21 16:15";CET;37041;1257915.94
"NORSE ATLANTIC";NO0010946445;NORSE;"Euronext Growth Oslo";NOK;15.00;15.00;14.20;14.60;"28/12/21 16:25";CET;127225;1845712.20
"NORSK HYDRO";NO0005052605;NHY;"Oslo Børs";NOK;70.42;71.18;69.46;69.58;"28/12/21 16:25";CET;2385251;167109673.26
"NORSK SOLAR";NO0010941925;NSOL;"Euronext Growth Oslo";NOK;7.098;7.099;6.90;6.90;"28/12/21 16:11";CET;18417;128277.16
"NORSK TITANIUM";NO0010969108;NTI;"Euronext Growth Oslo";NOK;6.399;6.399;5.95;5.95;"28/12/21 16:25";CET;13175;81559.09
"NORSKE SKOG";NO0010861115;NSKOG;"Oslo Børs";NOK;38.20;38.85;38.00;38.05;"28/12/21 16:25";CET;173758;6655074.40
NORTEL;NO0010900087;NTEL;"Euronext Growth Oslo";NOK;27.50;27.50;27.50;27.50;"22/12/21 09:00";CET;60;1650.00
"NORTH ENERGY";NO0010550056;NORTH;"Euronext Expand Oslo";NOK;2.65;2.77;2.65;2.73;"28/12/21 16:07";CET;27745;74984.94
"NORTHERN DRILLING";BMG6624L1090;NODL;"Oslo Børs";NOK;14.16;14.16;14.00;14.14;"28/12/21 16:25";CET;64789;911758.94
"NORTHERN OCEAN LTD";BMG6682J1036;NOL;"Oslo Børs";NOK;7.00;7.45;6.70;6.90;"28/12/21 16:25";CET;404596;2841498.21
"NORWAY ROYALSALMON";NO0010331838;NRS;"Oslo Børs";NOK;164.40;167.40;164.40;165.20;"28/12/21 16:25";CET;14332;2379975.00
"NORWEGIAN AIR SHUT";NO0010196140;NAS;"Oslo Børs";NOK;10.50;10.76;10.466;10.516;"28/12/21 16:29";CET;3699610;39212480.97
"NORWEGIAN BLOCK EX";NO0010984966;NBX;"Euronext Growth Oslo";NOK;8.60;8.749;8.501;8.66;"28/12/21 16:25";CET;198892;1724837.89
"NORWEGIAN ENERGY";NO0010379266;NOR;"Oslo Børs";NOK;151.00;151.40;150.00;151.40;"28/12/21 16:16";CET;3799;571989.00
"NRC GROUP";NO0003679102;NRC;"Oslo Børs";NOK;23.55;23.75;23.30;23.75;"28/12/21 16:25";CET;73343;1725116.35
NTS;NO0004895103;NTS;"Oslo Børs";NOK;87.20;89.20;87.20;89.20;"28/12/21 09:48";CET;16;1417.20
"NYKODE THERAPEUTIC";NO0010714785;NYKD;"Euronext Growth Oslo";NOK;84.00;84.90;78.00;79.40;"28/12/21 16:29";CET;539503;43579751.50
"OBSERVE MEDICAL";NO0010865009;OBSRV;"Euronext Expand Oslo";NOK;18.50;18.50;18.00;18.15;"28/12/21 16:28";CET;10088;182485.70
"OCEAN SUN";NO0010887565;OSUN;"Euronext Growth Oslo";NOK;14.10;15.18;14.10;14.52;"28/12/21 16:25";CET;56308;834507.08
OCEANTEAM;NO0010317316;OTS;"Oslo Børs";NOK;2.43;2.47;2.32;2.44;"28/12/21 14:44";CET;36670;87665.80
"ODFJELL DRILLING";BMG671801022;ODL;"Oslo Børs";NOK;20.38;20.86;20.20;20.24;"28/12/21 16:25";CET;450516;9252397.68
"ODFJELL SER. A";NO0003399909;ODF;"Oslo Børs";NOK;32.60;33.40;32.50;33.40;"28/12/21 16:25";CET;11328;371606.00
"ODFJELL SER. B";NO0003399917;ODFB;"Oslo Børs";NOK;32.40;32.80;32.40;32.80;"28/12/21 16:11";CET;966;31311.60
OKEA;NO0010816895;OKEA;"Oslo Børs";NOK;25.00;25.50;24.50;25.10;"28/12/21 16:25";CET;137534;3436219.00
"OKEANIS ECO TANKER";MHY641771016;OET;"Oslo Børs";NOK;71.30;72.00;71.30;71.60;"28/12/21 16:25";CET;16898;1214287.10
"OLAV THON EIENDOMS";NO0005638858;OLT;"Oslo Børs";NOK;193.00;193.20;189.20;189.40;"28/12/21 16:25";CET;7569;1446411.00
ORKLA;NO0003733800;ORK;"Oslo Børs";NOK;87.50;87.50;87.18;87.32;"28/12/21 16:27";CET;455565;39787993.86
"OTELLO CORPORATION";NO0010040611;OTEC;"Oslo Børs";NOK;26.60;26.65;26.30;26.50;"28/12/21 16:25";CET;9567;253110.65
