Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
OGI,Organigram Holdings Inc. Common Shares,$1.60,0.05,3.226%,497308238.00,Canada,,3174073,,
OLK,Olink Holding AB (publ) American Depositary Shares,$13.07,0.01,0.077%,1555422300.00,Sweden,2021,159898,Capital Goods,Biotechnology: Laboratory Analytical Instruments
ONCY,Oncolytics Biotech Inc. Common Shares,$1.905,0.205,12.059%,104826669.00,Canada,,851152,,
ORPH,Orphazyme A/S American Depositary Shares,$2.385,0.165,7.432%,83361095.00,Denmark,2020,355981,Technology,Computer Software: Prepackaged Software
OTEX,Open Text Corporation Common Shares,$46.96,-0.19,-0.403%,12752692024.00,Canada,1996,194275,,
OTLY,Oatly Group AB American Depositary Shares,$7.04,0.04,0.571%,4166110080.00,Sweden,2021,1553963,,
OVV,Ovintiv Inc. (DE),$38.57,-0.74,-1.882%,10070026272.00,Canada,,1511611,Energy,Oil & Gas Production
PAAS,Pan American Silver Corp. Common Stock,$25.025,2.295,10.097%,5263082425.00,Canada,,3209698,,
PBA,Pembina Pipeline Corp. Ordinary Shares (Canada),$32.23,-0.23,-0.709%,17738214993.00,Canada,,448021,Energy,Oil & Gas Production
PCOM,Points.com Inc. Common Shares,$15.17,-0.03,-0.197%,226682155.00,Canada,,6011,,
PDS,Precision Drilling Corporation Common Stock,$44.96,-0.39,-0.86%,598166948.00,Canada,,22452,,
PIRS,Pieris Pharmaceuticals Inc. Common Stock,$3.55,0.07,2.011%,255820714.00,Germany,,446731,Health Care,Biotechnology: Pharmaceutical Preparations
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$1.915,0.275,16.768%,152931739.00,Canada,,1050365,,
PLM,Polymet Mining Corporation Ordinary Shares (Canada),$2.58,0.12,4.878%,260263486.00,Canada,,32633,,
PPTA,Perpetua Resources Corp. Common Shares,$4.36,0.26,6.341%,274424691.00,Canada,,38919,,
PRMW,Primo Water Corporation Common Stock,$17.38,0.01,0.058%,2782515875.00,Canada,,216731,Consumer Non-Durables,Soft Drinks
PROF,Profound Medical Corp. Common Stock,$9.74,-0.17,-1.715%,202292505.00,Canada,,15925,,
PRTG,Portage Biotech Inc. Common Stock,$10.00,-0.12,-1.186%,133436200.00,Canada,,9537,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PVG,Pretium Resources Inc. Ordinary Shares (Canada),$14.56,0.48,3.409%,2736159739.00,Canada,,568764,,
PYR,PyroGenesis Canada Inc. Common Shares,$2.76,0.03,1.099%,471398906.00,Canada,,63161,,
QSR,Restaurant Brands International Inc. Common Shares,$56.486,-0.014,-0.025%,17797145469.00,Canada,2014,567946,,
RBA,Ritchie Bros. Auctioneers Incorporated Common Stock,$61.95,0.60,0.978%,6848518232.00,Canada,,153411,,
RCI,Rogers Communication Inc. Common Stock,$49.92,-0.32,-0.637%,25205871875.00,Canada,,106414,,
REAX,The Real Brokerage Inc. Common Shares,$2.90,0.00,0.00%,516664000.00,Canada,,91809,,
RFP,Resolute Forest Products Inc. Common Stock,$15.34,-0.10,-0.648%,1191350052.00,Canada,,145503,Basic Industries,Paper
RPTX,Repare Therapeutics Inc. Common Shares,$14.915,0.385,2.65%,622478375.00,Canada,2020,78986,,
RY,Royal Bank Of Canada Common Stock,$117.87,-0.92,-0.774%,167925777345.00,Canada,,809474,,
RY^T,Royal Bank Of Canada 6.750% Fixed Rate/Floating Rate Noncumulative First Preferred Shares Series C-2,$27.34,0.06,0.22%,,Canada,,2083,,
SA,Seabridge Gold Inc. Ordinary Shares (Canada),$16.9264,1.2864,8.225%,1324404425.00,Canada,,206856,,
SAND          ,Sandstorm Gold Ltd. Ordinary Shares (Canada),$6.475,0.485,8.097%,1239528468.00,Canada,,967890,,
SANG,Sangoma Technologies Corporation Common Shares,$16.40,0.00,0.00%,312058659.00,Canada,,1,,
SAP,SAP  SE ADS,$138.46,2.36,1.734%,163324555416.00,Germany,,322501,Technology,Computer Software: Prepackaged Software
SEV,Sono Group N.V. Common Shares,$6.915,-0.295,-4.092%,498416888.00,Germany,2021,379341,Energy,Industrial Machinery/Components
SGML,Sigma Lithium Corporation Common Shares,$10.27,-0.46,-4.287%,1016754124.00,Canada,,95852,Capital Goods,Industrial Machinery/Components
SHOP,Shopify Inc. Class A Subordinate Voting Shares,$1078.3201,23.6601,2.243%,135437365797.00,Canada,2015,1237949,,
SJR,Shaw Communications Inc. Common Stock,$30.09,0.05,0.166%,15018042188.00,Canada,,87048,,
SLF,Sun Life Financial Inc. Common Stock,$57.31,-0.65,-1.121%,33585479019.00,Canada,,303014,Technology,Advertising
SLHG,Skylight Health Group Inc. Ordinary Shares,$0.9799,-0.0201,-2.01%,38122972.00,Canada,,62816,Miscellaneous,Other Consumer Services
SLHGP,Skylight Health Group Inc. 9.25% Series A Cumulative Redeemable Perpetual Preferred Shares,$18.35,-0.42,-2.238%,0.00,Canada,,1322,Miscellaneous,Other Consumer Services
SNDL,Sundial Growers Inc. Common Shares,$0.5325,-0.014,-2.562%,1096950000.00,Canada,2019,46761080,,
SOLO,Electrameccanica Vehicles Corp. Ltd. Common Stock,$2.075,0.005,0.242%,133052090.00,Canada,,1607965,Capital Goods,Auto Parts:O.E.M.
SOLOW,Electrameccanica Vehicles Corp. Ltd. Warrants,$0.50,0.01,2.041%,0.00,Canada,,4456,Capital Goods,Auto Parts:O.E.M.
SRL,Scully Royalty Ltd.,$8.04,-0.12,-1.471%,118823160.00,Canada,,274,Consumer Services,Professional Services
SRRA,Sierra Oncology Inc. Common Stock,$19.185,-0.105,-0.544%,288830942.00,Canada,2015,91387,Health Care,Biotechnology: Pharmaceutical Preparations
SSRM,SSR Mining Inc. Common Stock,$17.53,1.20,7.348%,3713054052.00,Canada,,831744,,
STGW,Stagwell Inc. Class A Common Stock,$6.85,-0.01,-0.146%,775436872.00,Canada,,92074,Technology,Advertising
STKL,SunOpta Inc. Common Stock,$5.39,0.20,3.854%,578557329.00,Canada,,466069,,Packaged Foods
STN,Stantec Inc Common Stock,$53.33,-0.07,-0.131%,5929563086.00,Canada,,30913,Transportation,Marine Transportation
SU,Suncor Energy  Inc. Common Stock,$28.37,-0.23,-0.804%,41336643031.00,Canada,,3517392,,
SWIR,Sierra Wireless Inc. Common Stock,$16.17,0.26,1.634%,608873508.00,Canada,,75632,Technology,Radio And Television Broadcasting And Communications Equipment
SYTA,Siyata Mobile Inc. Common Shares,$1.50,0.05,3.448%,19983521.00,Canada,2020,2088162,Basic Industries,Metal Fabrications
SYTAW,Siyata Mobile Inc. Warrant,$0.4001,-0.0099,-2.415%,0.00,Canada,2020,118014,Basic Industries,Metal Fabrications
TAC,TransAlta Corporation Ordinary Shares,$10.63,0.20,1.918%,2880730000.00,Canada,,73519,Public Utilities,Electric Utilities: Central
TAP,Molson Coors Beverage Company Class B Common Stock,$50.75,-0.90,-1.742%,11011219228.00,Canada,,383982,Consumer Non-Durables,Beverages (Production/Distribution)
TCX,Tucows Inc. Class A Common Stock,$81.44,1.60,2.004%,871372736.00,Canada,,10343,Technology,EDP Services
TD,Toronto Dominion Bank (The) Common Stock,$81.30,-1.22,-1.478%,148345884494.00,Canada,,800219,,
TECK,Teck Resources Ltd Ordinary Shares,$34.88,0.72,2.108%,18598016000.00,Canada,,2767412,,
TGA,TransGlobe Energy Corporation Ordinary Shares (Canada),$3.23,-0.02,-0.615%,234310889.00,Canada,,235533,,
